見出し語（品詞）,訳
stunt（名詞）,①曲芸、離れ業、妙技、人目を引く行為　②矮小病、矮小動物
overshadow（他動詞）,…の影を薄くする、…を見劣りさせる、…に影を投げかける
troupe（名詞）,（俳優・サーカスなどの）一座、一行、一団
ordinance（名詞）,条例、法令、布告
placate（他動詞）,（人）をなだめる、（怒りなど）を静める、…を和らげる
apocalypse（名詞）,世の終末、大惨事、（世の終わりの）啓示、（the Apocalypseで）ヨハネの黙示録
proliferate（自動詞）,まん延する、繁殖する、拡大する
proliferate（他動詞）,…をまん延させる、…を繁殖させる、…を拡大させる
excise（名詞）,物品税（excise tax）、消費税
excise（他動詞）,①…に物品［消費］税を課す　②…を切除する、（語句など）を削る
quadruple（自動詞）,4倍になる
quadruple（他動詞）,…を4倍にする
quadruple（形容詞）,4倍の
quash（他動詞）,（うわさなど）を鎮める、（反乱など）を鎮圧する、…を抑える、…を無効にする
flagrant（形容詞）,（うそなどが）目に余る、悪名高い（限定用法が多い）
bogus（形容詞）,偽の、いんちきの
rendezvous（名詞）,待ち合わせ、会合、集合場所、ランデブー
rendezvous（自動詞）,会う、待ち合わせる、集合する
reverberate（自動詞）,（出来事などが）影響を与える、波紋を投げかける、（音が）反響する、（光が）反射する
overriding（形容詞）,最も重要な、最優先の（限定用法が多い）
revitalize（他動詞）,…に新しい活力を与える、…を活性化する
impoverished（形容詞）,困窮した、貧しい、貧弱な
rivet（他動詞）,…を釘付けにする、…を固定する、…をリベットで留める
rivet（名詞）,リベット、びょう
edifice（名詞）,大建造物、複雑な組織、（思想などの）体系
collateral（名詞）,担保、担保物件、傍系親族、付随事実
collateral（形容詞）,並行する、付随する、間接の、傍系の
sag（自動詞）,下落する、落ち込む、沈下する、たるむ、がっかりする
sag（名詞）,たるみ、下落、落ち込み、沈下
seep（自動詞）,（液体・情報などが）染み出る、漏れる、染み込む
seep（名詞）,染み出た所、水たまり、浸出、漏出
duct（名詞）,導管、輸送管、送水管、通気管、ダクト
meltdown（名詞）,（原子炉の）炉心溶融、メルトダウン、融解、株式市場の大暴落、（組織などの）崩壊
shackle（他動詞）,…を拘束する、…を束縛する、（人）に手［足］かせをかける
shackle（名詞）,（通常shacklesで）手錠、束縛
moribund（形容詞）,停滞している、活力を失った、消滅寸前の、瀕死の
retribution（名詞）,懲罰、報復、報い、天罰
smite（他動詞）,…を滅ぼす、…を殺す、…を強打する、…を打ち倒す
spook（他動詞）,…をおびえさせる、…を怖がらせる
spook（名詞）,幽霊、お化け、スパイ
specter（名詞）,幽霊、亡霊、不安の元、恐ろしいもの
garrison（名詞）,守備隊、駐屯軍、駐屯地
garrison（他動詞）,…に守備隊を配置する
foray（名詞）,急襲、略奪、（慣れない分野への）進出
subvert（他動詞）,（政府・体制）を転覆させる、…を堕落させる
pronounced（形容詞）,顕著な、明白な、はっきりした、目立つ
supplant（他動詞）,…に取って代わる、…の後釜に座る
antiquated（形容詞）,時代遅れの、古風な、旧式の
ethos（名詞）,精神、気風、風潮、気質、特質
rupture（名詞）,破裂、決裂、断交
rupture（他動詞）,…を破裂させる、…を断交する
rupture（自動詞）,破裂する、裂ける
tarnish（他動詞）,（評判・名誉など）を汚す、…を傷つける、…の光沢を曇らせる、…を変色させる
tarnish（自動詞）,光沢を失う、変色する
tarnish（名詞）,曇り、変色、汚点
deft（形容詞）,器用な、腕のよい、巧みな
teem（自動詞）,たくさんいる、いっぱいである、満ちる
canine（名詞）,イヌ科の動物、イヌ、犬歯（canine tooth）
canine（形容詞）,イヌの（ような）、イヌ科の（限定用法）
acumen（名詞）,洞察力、眼識、明敏、鋭敏
stately（形容詞）,風格のある、堂々たる、荘重な
wane（自動詞）,衰える、弱る、終わりに近づく、（月が）欠ける
wane（名詞）,（the waneで）衰え、終末、（月の）欠け
comptroller（名詞）,会計監査官、検査官、管理者
crony（名詞）,（通常croniesで）悪友、仲間、取り巻き
abet（他動詞）,（人）を唆す、（悪事）をほう助する
curator（名詞）,（博物館などの）学芸員、（動物園の）園長、管理者
admonish（他動詞）,（人）に注意する、（人）に勧告する、（人）に警告する
cleric（名詞）,牧師、聖職者
cleric（形容詞）,牧師の、聖職者の
bask（自動詞）,（恩恵などを）受ける、浴する、日光に当たる
brazen（形容詞）,ふてぶてしい、恥知らずの、真ちゅうの
beguile（他動詞）,（人）をだます、（人）からだまし取る、…を魅了する
bluff（他動詞）,（人）をはったりでだます、（人）を（はったりで）おどす
bluff（名詞）,はったり、こけおどし
evangelist（名詞）,福音伝道者、巡回説教者、熱烈な支持者
foreman（名詞）,（工事現場などの）監督、作業長、陪審長
blurt（他動詞）,…をうっかりしゃべる
insidious（形容詞）,こっそり仕組まれた、油断のならない、知らぬ間に悪化する
defection（名詞）,離反、寝返り、欠陥
chasten（他動詞）,…を反省させる、…を懲らしめる（通常受身）
chide（他動詞）,…に小言を言う、…をしかる
chide（自動詞）,しかる、たしなめる
upbringing（名詞）,しつけ、教育
corroborate（他動詞）,…を裏付ける、…を確証する
expatriate（名詞）,国外追放者、国外在住者
expatriate（他動詞）,…を国外に追放する
expatriate（形容詞）,国外在住の、国外に追放された（限定用法）
espionage（名詞）,スパイ行為［活動］、スパイを使うこと
combo（名詞）,コンボ（［小編成の］ジャズ楽団）、（料理の）組み合わせ
demur（自動詞）,反対する、異議を唱える
demur（名詞）,異議、ためらい
deride（他動詞）,…をばかにする、…をあざける
overture（名詞）,提案、打診、序曲、序章
rapprochement（名詞）,和解、親交関係、親善
ludicrous（形容詞）,こっけいな、ばかげた
connoisseur（名詞）,鑑識家、目利き、通
disparage（他動詞）,…をけなす、…を見くびる、…の信用を落とす
cooper（名詞）,たる類製造者、おけ屋
extol（他動詞）,…を激賞する、…を褒めそやす
precinct（名詞）,（行政上の）地区、警察管区、選挙区、（precinctsで）（教会などの）構内、境界
philanthropy（名詞）,慈善活動、博愛的行為、博愛、慈善団体
maverick（形容詞）,（政治家が）無所属の、一匹狼の
maverick（名詞）,無所属の政治家、一匹狼、異端者
fawn（自動詞）,こびる、へつらう、甘える
caste（名詞）,特権的階級、カースト制度、社会的な地位
choreographer（名詞）,振付師
grouse（自動詞）,不平を言う
grouse（名詞）,不平
wayward（形容詞）,わがままな、気まぐれな、理不尽な、不規則な（限定用法が多い）
scathing（形容詞）,容赦のない、痛烈な、批判的な
surcharge（名詞）,追加料金、追徴金、（荷物の）過重
surcharge（他動詞）,…に追加料金を請求する
