symposium（名詞）,シンポジウム、討論会
parachute（名詞）,パラシュート、落下傘
parachute（自動詞）,パラシュートで降下する、天下りする
parachute（他動詞）,…をパラシュートで降下させる、…を天下りさせる
cockpit（名詞）,（航空機の）操縦席、コックピット、（レーシングカーなどの）運転席、（ヨットなどの）操舵席
chirp（自動詞）,チュンチュンと鳴く、にぎやかに話す
chirp（名詞）,（小鳥の鳴き声などの）甲高い音
pleasantly（副詞）,楽しく、愉快に、愛想よく
farmyard（名詞）,農家の庭
prosecutor（名詞）,検事、検察官
clench（他動詞）,（こぶし・手など）を堅く締める、…をしっかりつかむ
clench（名詞）,堅く締めること
don（他動詞）,…を着る、…を着用する
don（名詞）,首領、貴族、スペインで男性につける敬称
striped（形容詞）,しまのある、しま模様の
crater（名詞）,（火山の）噴火口、（爆発などで地面がえぐれてできた）穴、（月面などの）クレーター
emit（他動詞）,…を出す、…を放つ、…を発令する、…を口に出す
toxic（形容詞）,有毒の、中毒性の
volcanic（形容詞）,火山の、火山性の、火山の多い
gulp（他動詞）,…をぐっと飲む［飲み込む］
gulp（自動詞）,息が詰まる、むせる
gulp（名詞）,ゴクゴク飲むこと
tonic（名詞）,トニックウオーター（tonic water）、強壮剤、元気づけるもの
tonic（形容詞）,元気づける、（薬などが）強壮にする
innkeeper（名詞）,宿屋［居酒屋］の主人
gush（自動詞）,勢いよく流れ出る、わき出る
gush（名詞）,ほとばしり、噴出
hose（名詞）,ホース、長靴下
hose（他動詞）,ホースで水をかける
hitch（他動詞）,…をつなぐ、…を引っかける、…をヒッチハイクする
hitch（名詞）,支障、障害
ballad（名詞）,バラード（民間伝承の物語詩）、バラード形式の詩［曲］
jingle（自動詞）,チリンチリンと鳴る、調子よく響く
jingle（名詞）,チリンチリンと鳴る音
reddish（形容詞）,赤みを帯びた、やや赤い、赤らんだ（限定用法が多い）
mow（他動詞）,…を刈り取る、…を手当たり次第になぎ倒す
diversion（名詞）,気晴らし、娯楽、脇へそらすこと、転換、（軍事で）けん制、（主に英）回り道
quake（自動詞）,震える、おののく、揺れる
quake（名詞）,地震（earthquake）
horrified（形容詞）,恐怖に襲われた、怖がっている、恐怖を表す
quiver（自動詞）,（ブルブルと）震える、揺れる
quiver（他動詞）,…を震わせる
quiver（名詞）,震え、振動
shooting（名詞）,発砲、射撃、銃撃、（写真・映画の）撮影
windmill（名詞）,風車、風力タービン
arc（名詞）,弧、円弧、弓形、アーク
arc（自動詞）,弧状を描く
rotate（自動詞）,回転する、交代する
rotate（他動詞）,…を回転させる、…を交代でする
trailer（名詞）,トレーラー、トレーラーハウス、移動住宅（trailer house）、（映画などの）予告編
rumble（自動詞）,ゴロゴロ音を立てる、とどろく
rumble（名詞）,ゴロゴロ［ガラガラ］いう音、騒音
nightfall（名詞）,夕暮れ、日暮れ
scrub（他動詞）,…を（ごしごしと）こすり落とす、…を取りやめる
scrub（名詞）,磨くこと
dough（名詞）,パン生地、生パン
shove（他動詞）,…を（無造作に）押し込む、…を押しのける、…を（乱暴に）突く
honorary（形容詞）,名誉の、名誉を記念する、肩書きだけの
platinum（名詞）,プラチナ、白金
platinum（形容詞）,プラチナ色の、プラチナ製の
badge（名詞）,バッジ、記章、印
vegetarian（名詞）,菜食主義者
vegetarian（形容詞）,菜食主義の
shudder（自動詞）,身震いする、震える、激しく震動する
shudder（名詞）,身震い、激しい震動
fillet（名詞）,骨のない切り身［開き身］、ヒレ（肉）
fillet（他動詞）,（肉）を切り身にする
skid（自動詞）,横滑りする
skid（名詞）,横滑り、（飛行機などの着陸用）そり
narrowly（副詞）,危うく、かろうじて、間一髪で、偏狭に、綿密に、心狭く
sneer（自動詞）,あざ笑う、冷笑する
sneer（他動詞）,…とあざけって言う
sneer（名詞）,冷笑、軽蔑
melodrama（名詞）,メロドラマ、メロドラマのような出来事
disdain（名詞）,軽蔑、侮蔑
disdain（他動詞）,…を軽蔑する、（disdain to do で）…する価値がないと考える
sniff（自動詞）,においをかぐ、鼻であしらう
sniff（他動詞）,…のにおいをかぐ、（麻薬など）を鼻から吸い込む
sniff（名詞）,鼻をクンクン鳴らすこと
rusty（形容詞）,さびた、さびで覆われた、さびから生じた
dagger（名詞）,短刀、短剣、（活字の）ダガー、剣標（†）
snort（自動詞）,鼻を鳴らす
snort（他動詞）,…を鼻を鳴らして言う、（麻薬）を吸う
discontent（名詞）,不満、不平
discontent（他動詞）,…に不満を抱かせる、…を不機嫌にさせる
dummy（名詞）,マネキン、模型、模造品、ダミー
dummy（形容詞）,模型の、模造の、名義だけの（限定用法）
stroll（自動詞）,散歩する、ぶらつく
stroll（名詞）,ぶらぶら歩き、散歩
pastoral（形容詞）,田園の、のどかな、羊飼いの、牧師の（限定用法が多い）
pastoral（名詞）,田園詩［画］
luminous（形容詞）,発光する、光を出す、明るい、（表現などが）明快な（限定用法が多い）
swirl（自動詞）,渦巻く、ぐるぐる回る、飛び跳ねる
swirl（他動詞）,…に渦巻きを起こす
swirl（名詞）,回転、渦巻き
guru（名詞）,導師、グル、教祖的存在
initiation（名詞）,（加入・入会などの）儀式、加入、入会、入社
snapshot（名詞）,スナップ写真、寸評
tilt（他動詞）,（首など）をかしげる、…を傾ける、（意見・論調など）をある方向へ向ける
tilt（自動詞）,傾く、（文書などで）非難する
tilt（名詞）,傾き、傾斜、攻撃
tow（他動詞）,…を（鎖［綱］で）引っ張る、（車）をレッカー移動する
tow（名詞）,（鎖・綱で）引く［引かれる］こと、引き船、けん引車
raft（名詞）,いかだ、救命ゴムボート、（水泳者用の）浮き台
raft（他動詞）,…をいかだで輸送する
trot（自動詞）,速足で駆ける、急ぐ
downhill（副詞）,下方へ、一層悪く
downhill（形容詞）,下り坂の
downhill（名詞）,下り坂、衰退
tug（自動詞）,強く引く、ぐいと引っ張る
tug（他動詞）,…を強く引く、…をぐいと引っ張る
tug（名詞）,強く引くこと、努力、引き船（tugboat）
mesh（名詞）,網の目（をかがった糸）、メッシュ
scroll（名詞）,巻物、渦巻き模様
scroll（自動詞）,スクロールする
scroll（他動詞）,（画面）をスクロールする
untie（他動詞）,（結んだ物）をほどく、…を解く、（困難など）を解決する
gale（名詞）,強風
uproot（他動詞）,…を根こそぎにする、…を引っこ抜く、…を立ち退かせる
cramp（名詞）,けいれん、引きつり、激しい腹痛
vomit（自動詞）,食物を吐く、嘔吐する
